Time [s],X [°/s],Y [°/s],Z [°/s]
190.92275,-45.77707,-135.256,46.5095
190.924,-45.65499,-129.1524,44.55634
190.925,-43.09148,-130.1289,41.01625
190.92625,-41.87075,-135.9884,37.35408
190.9275,-42.72526,-131.7159,35.64508
190.92875,-40.77211,-129.1524,33.81399
190.93,-38.08652,-134.8898,31.86084
190.93125,-38.45274,-129.5186,31.25048
190.9325,-36.49958,-125.124,29.54147
190.93375,-34.18021,-128.4199,27.2221
190.935,-35.03471,-124.3915,25.0248
190.936,-33.08156,-122.5605,24.04822
190.93725,-31.73877,-127.5654,22.8275
190.9385,-30.88426,-133.4249,22.58335
190.93975,-30.76219,-135.5001,21.60678
190.941,-29.17525,-133.9132,19.77569
190.942,-26.36759,-144.0452,18.92119
190.94325,-27.58831,-141.6037,18.31083
190.9445,-26.48966,-136.965,16.11353
190.94575,-24.65858,-134.8898,14.64866
190.947,-22.94957,-144.5335,12.69551
190.94825,-23.43786,-146.3645,10.9865
190.9495,-21.72885,-145.0217,9.643702
190.95075,-20.75227,-146.3645,6.469825
190.952,-19.89776,-141.3596,4.028382
190.953,-18.06668,-145.388,1.953155
190.95425,-17.57839,-153.2006,0.1220722
190.9555,-18.79911,-146.8528,-2.929732
190.95675,-18.18876,-138.9181,-4.516671
190.958,-16.60182,-138.9181,-8.178836
190.95925,-17.09011,-141.1154,-10.00992
190.9605,-16.11353,-137.6974,-12.57343
190.96175,-15.25902,-140.7492,-15.86938
190.963,-15.01488,-142.4582,-17.45632
190.964,-14.77073,-143.801,-20.75227
190.96525,-16.47974,-139.4064,-23.43786
190.9665,-15.99146,-139.6506,-24.90272
190.96775,-15.62524,-138.9181,-27.71038
190.969,-14.40452,-138.1857,-30.02975
190.97,-14.52659,-135.256,-31.1284
190.97125,-13.91623,-137.2091,-32.71534
190.9725,-14.64866,-136.1105,-34.18021
190.97375,-12.57343,-135.378,-36.13337
190.975,-12.08514,-135.7443,-38.08652
190.97625,-10.74235,-145.9983,-38.81895
190.9775,-11.10857,-142.4582,-40.03967
190.97875,-10.13199,-137.2091,-42.35904
190.98,-9.887846,-146.9749,-44.19013
190.981,-8.42298,-149.2943,-44.43427
190.98225,-6.958114,-150.1488,-47.24193
190.9835,-6.71397,-152.5902,-48.21851
190.98475,-5.004959,-152.224,-50.53788
190.986,-4.028382,-149.6605,-51.02617
190.987,-3.418021,-149.4163,-53.34554
190.98825,-1.220722,-156.2524,-55.17662
190.9895,-1.831083,-153.5668,-56.1532
190.99075,-0.9765774,-150.515,-57.98428
190.992,0.6103609,-153.3226,-58.83879
190.99325,1.220722,-157.1069,-61.40231
190.9945,2.685588,-159.4263,-64.45411
190.99575,4.638742,-159.1821,-65.43069
190.997,5.493248,-156.7407,-66.28519
190.998,5.493248,-158.0835,-68.97078
190.99925,7.080186,-162.6001,-70.80186
191.0005,7.080186,-165.2857,-71.04601
191.00175,7.690547,-157.229,-73.12123
191.003,9.643702,-159.9146,-75.31853
191.00425,9.033341,-161.2573,-76.05096
191.0055,10.9865,-156.3745,-77.75998
191.00675,12.45136,-165.5299,-80.32349
191.008,12.08514,-165.8961,-81.42214
191.009,13.91623,-169.3141,-82.88701
191.01025,13.67208,-162.9664,-84.2298
191.0115,14.28244,-161.3794,-84.71809
191.01275,14.64866,-167.2389,-85.20638
191.014,15.13695,-169.4362,-85.45052
191.015,15.99146,-168.2155,-86.06088
191.01625,16.35767,-171.9997,-87.40368
191.0175,15.38109,-168.9479,-88.38026
191.01875,16.72389,-164.3091,-88.38026
191.02,18.67704,-176.6384,-88.25819
191.02125,18.79911,-179.4461,-89.60098
191.0225,18.55497,-173.3425,-88.74647
191.02375,20.75227,-176.0281,-88.99062
191.025,19.16533,-179.5682,-89.84512
191.026,19.77569,-174.0749,-90.69962
191.02725,20.87434,-174.8074,-89.23476
191.0285,21.36263,-177.1267,-88.86855
191.02975,20.50813,-175.0515,-89.23476
191.031,19.2874,-174.8074,-88.74647
191.032,19.77569,-174.4411,-88.86855
191.03325,19.40948,-174.5632,-88.25819
191.0345,19.65362,-179.4461,-88.13611
191.03575,19.2874,-180.6668,-87.40368
191.037,19.65362,-176.7605,-85.93881
191.03825,18.79911,-178.2254,-85.57259
191.0395,18.4329,-179.5682,-85.32845
191.04075,18.18876,-180.911,-84.59602
191.042,17.33425,-176.2722,-83.98566
191.043,18.18876,-177.3709,-83.25323
191.04425,17.33425,-181.2772,-81.42214
191.0455,17.21218,-183.8407,-81.54421
191.04675,16.35767,-183.1083,-81.30007
191.048,15.74731,-173.5866,-80.32349
191.04925,16.2356,-175.4177,-79.59106
191.0505,15.38109,-178.3474,-78.73655
191.05175,13.79416,-171.9997,-76.66132
191.053,14.89281,-173.7087,-75.92889
191.054,14.77073,-176.7605,-75.92889
191.05525,13.18379,-171.0231,-74.95232
191.0565,14.52659,-173.4646,-72.87709
191.05775,13.30587,-176.5164,-72.26673
191.059,13.55001,-172.2438,-71.16808
191.06,12.69551,-172.7321,-68.84871
191.06125,12.57343,-172.488,-68.48249
191.0625,11.10857,-172.9763,-67.87213
191.06375,10.13199,-171.9997,-65.43069
191.065,9.887846,-168.2155,-63.47753
191.06625,9.155413,-167.9713,-61.28023
191.0675,7.080186,-168.7038,-59.69329
191.06875,8.178836,-171.3893,-58.71672
191.07,7.32433,-171.7556,-57.25185
191.071,6.347753,-168.8258,-56.27527
191.07225,4.638742,-166.7506,-54.56626
191.0735,4.760815,-163.2105,-52.73518
191.07475,5.371176,-170.901,-51.63653
191.076,3.662165,-165.6519,-49.19509
191.077,3.173877,-166.2623,-47.364
191.07825,3.051804,-170.5348,-46.5095
191.0795,2.563516,-172.9763,-45.16671
191.08075,1.464866,-165.774,-45.16671
191.082,1.342794,-163.8209,-42.48112
191.08325,1.70901,-158.8159,-40.89418
191.0845,-0.7324331,-158.4497,-40.16175
191.08575,-0.7324331,-160.5249,-38.94102
191.087,-0.7324331,-161.7456,-36.98787
191.088,-1.342794,-153.6889,-35.64508
191.08925,-1.464866,-155.642,-34.54642
191.0905,-2.441443,-158.8159,-32.34912
191.09175,-2.563516,-150.1488,-31.00633
191.093,-1.953155,-159.06,-29.66354
191.09425,-4.882887,-158.5718,-28.44282
191.0955,-3.784237,-148.806,-26.97795
191.09675,-4.028382,-151.6136,-25.39101
191.098,-4.882887,-157.229,-24.29236
191.099,-6.347753,-157.8393,-22.70543
191.10025,-7.690547,-150.7591,-22.33921
191.1015,-7.080186,-151.3695,-20.26398
191.10275,-6.958114,-154.2992,-18.31083
191.104,-6.591897,-155.2758,-16.72389
191.105,-6.958114,-153.3226,-16.47974
191.10625,-7.568475,-155.0317,-15.86938
191.1075,-8.42298,-152.5902,-14.64866
191.10875,-9.399557,-148.806,-12.08514
191.11,-10.25406,-147.5853,-11.47478
191.11125,-9.521629,-155.8862,-9.521629
191.1125,-10.49821,-160.5249,-8.911269
191.11375,-11.47478,-151.4916,-8.42298
191.115,-11.841,-149.9046,-7.690547
191.116,-11.59686,-153.2006,-5.737392
191.11725,-12.45136,-156.3745,-4.760815
191.1185,-12.45136,-155.642,-4.150454
191.11975,-14.40452,-151.4916,-2.685588
191.121,-13.30587,-148.4398,-1.70901
191.122,-13.67208,-150.2708,-0.2441444
191.12325,-14.16037,-153.0785,1.09865
191.1245,-14.77073,-149.2943,1.464866
191.12575,-14.64866,-151.6136,2.80766
191.127,-14.52659,-145.388,3.418021
191.12825,-13.79416,-151.3695,4.028382
191.1295,-15.01488,-151.3695,5.004959
191.13075,-15.62524,-150.2708,6.469825
191.132,-17.21218,-144.6555,6.836042
191.133,-16.72389,-141.9699,8.300908
191.13425,-16.60182,-145.0217,9.155413
191.1355,-16.35767,-148.0735,8.545053
191.13675,-17.09011,-146.7308,9.765774
191.138,-18.4329,-144.0452,11.71893
191.13925,-17.57839,-142.8244,12.81758
191.1405,-17.82254,-147.3411,13.30587
191.14175,-16.84596,-149.1722,14.28244
191.143,-18.18876,-148.4398,15.01488
191.144,-19.89776,-144.2893,15.25902
191.14525,-19.04326,-143.9231,16.11353
191.1465,-18.55497,-146.6087,16.11353
191.14775,-18.55497,-145.1438,16.72389
191.149,-18.06668,-141.9699,18.18876
191.15,-18.31083,-145.9983,18.4329
191.15125,-20.01984,-149.0501,17.57839
191.1525,-19.65362,-149.2943,18.06668
191.15375,-18.06668,-140.9934,18.55497
191.155,-17.09011,-142.092,19.04326
191.15625,-17.57839,-150.8812,19.77569
191.1575,-19.40948,-148.9281,20.26398
191.15875,-19.65362,-141.4816,19.77569
191.16,-18.92119,-140.6272,19.77569
191.161,-18.06668,-147.5853,20.6302
191.16225,-18.4329,-145.7542,21.24056
191.1635,-17.82254,-151.4916,21.36263
191.16475,-18.06668,-145.388,21.4847
191.166,-17.94461,-145.0217,21.11849
191.167,-17.94461,-148.3177,20.87434
191.16825,-18.18876,-146.6087,21.4847
