Timestamps,Speed [g/s]
77.5,4.058972576347613
77.6,3.839650255580863
77.637,2.48724999532701
77.7,3.678635660121857
77.8,3.57278447718211
77.804,2.608242558443172
77.9,3.790222873070555
78.0,3.7930748382821413
78.1,4.184417615866603
78.2,4.0616288371374845
78.3,3.965694325201662
78.4,3.503803215471079
78.5,3.7961091382928314
78.6,3.584829503097658
78.584,1.9636654259750395
78.7,3.2121042756163463
78.8,3.847706091404748
78.9,3.7748843798776557
78.918,4.307286375482884
79.0,3.3985277286844964
79.1,3.8176902493095195
79.102,7.184981195487243
79.2,3.646553685182916
79.156,8.114331028536633
79.157,8.155967131862917
79.218,7.4872389876947345
79.219,7.785614620337237
79.224,8.34118074505211
79.229,9.062035421346938
79.23,9.714025297493727
79.235,10.540051754448104
79.24,11.351060424720924
79.241,12.173047093027495
79.246,12.985781563383105
79.247,13.77000419130892
79.252,14.392839211572722
79.257,15.105085935370342
79.258,15.76156078617115
79.263,16.280314880016498
79.268,16.683081393036595
79.269,17.008504304312574
79.274,17.225861950573663
79.279,17.417369196025046
79.28,17.601008686935458
79.285,17.723148309583145
79.286,17.837807644782437
79.291,17.707296975559057
79.296,17.5637120942771
79.297,17.353869516052576
79.302,17.070030475593974
79.307,16.6102341366847
79.308,16.20746798938011
79.313,15.850223948193932
79.318,15.307777108697659
79.319,4.068222433338053
79.324,14.388735228150738
79.329,13.954781109758665
79.33,13.468975564204541
79.335,12.99805456218292
79.336,12.690228212909686
79.341,12.245374061106263
79.346,11.834315047638661
79.347,11.55460769302393
79.352,11.259314943729947
79.357,11.01942743948004
79.358,10.802112820342051
79.363,10.633123056757123
79.368,10.525384774749634
79.369,10.325995864033187
79.374,10.168260016938314
79.375,10.010207359005506
79.38,9.871848684123597
79.385,9.715164416784212
79.386,9.625094986050236
79.391,9.57400581023623
79.4,3.7210875439783893
79.5,3.48701837071228
79.541,7.420548609908498
79.546,46.307708041250045
79.547,7.7380301223954335
79.552,44.6953016543821
79.553,8.136658788836783
79.558,8.208545115366531
79.563,8.458013121076377
79.564,8.763769247442015
79.569,8.99407977355502
79.574,9.241825304438988
79.6,3.311476608230133
79.58,9.939166391239825
79.581,10.277831234247387
79.586,10.615739731102128
79.591,37.605531169583664
79.592,11.518928704692126
79.597,12.019863837288149
79.602,36.09150491021133
79.603,13.022723212876548
79.608,13.593709424627875
79.613,34.296433671658164
79.614,14.61399550950396
79.619,33.35984773190979
79.624,32.96740061160816
79.625,16.29641106000857
79.63,32.54387611093248
79.631,17.359012421442124
79.636,17.873704188126318
79.641,32.68619851185004
79.642,18.967767600697332
79.647,33.13801750233841
79.652,33.4601230705172
79.653,20.04438935933915
79.658,34.127546200960346
79.659,20.44170338948359
79.664,20.677783205986646
79.669,35.32443995881724
79.67,21.11281374631143
79.675,36.15822137836448
79.68,36.681264798152746
79.681,21.24741789440476
79.686,37.78997752466548
79.691,38.421439004809564
79.692,20.937147447820763
79.697,39.885342606659584
79.702,40.89104070493528
79.707,20.444368472765067
79.708,42.959208468438646
79.709,20.24724538400362
79.714,45.904820328988066
79.719,47.71868179810757
79.72,19.5257085908571
79.725,51.74503722752192
79.73,53.90613967981032
79.731,55.982493791965
79.736,58.2951993928027
79.741,60.65149170877775
79.742,62.854527096056216
79.747,65.10804368448913
79.748,16.401073007779083
79.753,69.0721198468534
79.758,70.66409134157242
79.759,72.23151710036669
79.8,3.587689208866792
79.814,97.15360265485957
79.819,8.1143318846425
79.82,99.03325825911786
79.825,99.83427470120976
79.83,9.20218873234011
79.831,9.595835632180167
79.836,102.19837645591834
79.837,102.84472837230544
79.842,103.72485827359542
79.847,12.299866588208726
79.848,105.51000014034143
79.853,106.38952702428014
79.858,15.291150587025088
79.859,107.56381382461228
79.864,107.68310830400489
79.869,18.388056805739435
79.87,107.35842198949297
79.875,20.69812169606101
79.876,106.21891640289896
79.881,105.33050883631176
79.886,24.09538942514851
79.887,103.41783111666854
79.892,101.89688614705722
79.897,27.03045394508532
79.898,98.54870433048097
79.903,28.82252187804001
79.908,29.494479134823134
79.913,29.974900765098347
79.914,30.543383718191624
79.919,30.919999587537177
79.92,85.05039801258246
79.925,31.608235351828927
79.926,79.48812958311768
79.931,76.21663661795148
79.936,32.53026230429152
79.937,69.43095765311043
79.942,33.011750381426445
79.947,33.32440493674006
79.948,59.043083833565504
79.953,33.867839336770516
79.954,52.26351828730323
79.959,48.84012467126174
79.964,34.44965879229874
79.965,42.49221864517609
79.97,39.268601857418744
79.975,35.22702684429544
79.976,35.45746045574928
79.981,35.621908856014116
79.986,35.685200497772044
79.987,35.72346219283253
79.992,35.765328773999215
79.997,35.74185306747731
79.998,35.637622166526455
80.003,35.509461533652825
80.004,19.985393274913346
80.009,35.0738794602841
80.014,34.8125540017845
80.015,17.926684536077083
80.02,34.10493372064378
80.025,33.75908633845793
80.03,33.39674474625211
80.031,32.98384132222677
80.036,32.678925838346885
80.037,32.43057187180917
80.042,32.2654375411361
80.043,13.97256811983303
80.048,31.88094627538324
80.053,31.854740772804924
80.054,31.889004022555543
80.059,31.86943109796291
80.064,31.643169471096385
80.065,31.308652883508575
80.07,30.99186132590281
80.075,30.565072865006215
80.076,30.11460480945351
80.081,29.570210548975645
80.082,28.950505974240343
80.087,28.12746780692201
80.092,27.32014177410707
80.093,26.42222003879414
80.098,25.574852137699736
80.103,24.920204395195302
80.104,24.273583601514414
80.109,23.84907314374809
80.114,23.82035307082038
80.115,23.842331417362104
80.12,24.208015196957014
80.125,24.89193622901937
80.126,25.553829165859295
80.131,26.60138018605561
80.132,27.669281127173036
80.137,29.101893766116053
80.142,30.75233596522239
80.143,32.30878560821092
80.148,34.162421415029584
80.153,36.175732724673644
80.154,38.113686976945175
80.159,40.20708851318314
80.164,42.47497637431693
80.165,44.64586309528725
80.17,46.90065760430634
80.171,48.97731678120094
80.176,51.35522955429154
80.181,53.863590595630434
80.182,56.15213251261052
80.187,58.53609567542997
80.192,60.843079642730814
80.193,62.888103055386495
80.198,64.94298093444301
80.203,66.98345898376064
80.204,68.88824510005493
80.209,70.81521098530871
80.21,72.55744620615192
80.215,74.19626640813755
80.22,75.59694401099053
80.221,76.88425356174567
80.226,77.86548902824404
80.231,78.70173281170676
80.236,79.25490048091099
80.237,79.78024227756751
80.242,80.05358459350298
80.243,80.16560900879648
80.248,80.02145357669924
80.249,79.75734513980072
80.254,79.14692690169835
80.259,78.29876698717048
80.26,77.5367386403857
80.265,76.44479591416984
80.27,75.21948766419706
80.271,74.0243711444554
80.276,72.7079957760175
80.281,71.50359343152712
80.282,70.30701770145657
80.287,69.06561022087293
80.292,67.76964259991298
80.293,66.4499830214705
80.298,65.08514731337546
80.299,63.680216348798496
80.304,61.838020266150174
80.309,59.46590100189406
80.31,57.303650685755684
80.315,54.807905753886075
80.32,52.32057524846409
80.321,50.08192113702563
80.326,48.08516639712622
80.331,46.451513589902135
80.332,45.09435171661514
80.337,43.75146005011063
80.338,42.503735543077205
80.343,41.55880914271463
80.348,40.72191204249514
80.353,40.10291708174269
80.354,39.420324479980096
80.359,38.91359149136351
80.36,38.425776299055094
80.365,37.98447327862413
80.37,37.46885939972737
80.371,36.92312610364816
80.376,36.376207721165336
80.377,35.93118193864736
80.382,35.480570411553394
80.387,35.00817815753106
80.388,34.425007263341406
80.393,33.888519310711146
80.398,33.29047511353881
80.399,32.692762198333064
80.4,3.710988179363612
80.409,31.921961666227105
80.41,31.509552219791985
80.415,31.113474155351213
80.42,30.638302535604385
80.421,30.105241512779386
80.426,29.59058507069201
80.427,29.03191379565662
80.432,28.40403023975442
80.437,27.6138195490875
80.438,26.985367325809825
80.443,26.230796801770193
80.448,25.525589703741506
80.449,24.861223697466155
80.454,24.45443101328761
80.459,24.188779091718047
80.46,23.98094185241088
80.465,23.876373584614225
80.466,23.55753391070012
80.471,23.00600317097262
80.476,22.34391959432607
80.477,21.716333636679472
80.482,20.962964724466588
80.487,20.34343163772685
80.488,19.866901122094518
80.493,19.56422684187306
80.498,19.477539498019112
80.499,19.535944408985614
80.5,3.7989025800099387
80.509,22.21977732077481
80.51,21.210959588858536
80.515,21.73869333825358
80.516,22.226158963114422
80.521,22.740823627644048
80.526,23.35407734506027
80.527,23.933192199106035
80.532,24.641951141508347
80.537,17.49010963457443
80.538,26.263184019754206
80.543,27.352734718968453
80.548,28.48467928786779
80.549,29.667514911954836
80.554,31.263979053041158
80.555,32.64469989501469
80.56,34.24901170503849
80.565,36.26851831431019
80.566,38.23805299203097
80.571,40.44337372878443
80.576,43.20153595543284
80.6,7.554533269555353
80.582,49.060710646165575
80.7,148.03341882663497
80.8,187.49511762016965
80.777,144.56222980191586
80.782,143.71001935203947
80.783,51.040842559900305
80.788,48.88069330599
80.793,46.64391529727891
80.799,143.6402083247018
80.804,143.51708747393872
80.805,143.58996055072362
80.81,144.5832881539359
80.816,148.94898690828262
80.821,508.71202812571084
80.822,155.25401972612747
80.827,31.488229994421644
80.832,510.16708223835144
80.833,30.884064344147106
80.838,30.887815170990027
80.843,511.96316765505895
80.844,31.04944123032491
80.9,190.20913778903324
81.0,107.77221665832334
80.96,634.8224417866327
80.999,620.2162434866577
81.005,610.8330500451146
81.01,605.2694333430062
81.016,594.2242176403832
