Time [s],X [°/s],Y [°/s],Z [°/s]
243.5465,-6.958114,-37.10994,-2.929732
243.54775,-7.812619,-37.7203,-2.563516
243.549,-8.911269,-34.91264,-2.441443
243.55,-7.934691,-35.76715,-2.685588
243.55125,-8.056764,-36.25544,-2.075227
243.5525,-8.42298,-35.76715,-2.563516
243.55375,-9.033341,-35.03471,-2.929732
243.555,-8.789197,-35.76715,-2.80766
243.556,-9.277485,-35.523,-2.563516
243.55725,-8.667125,-36.13337,-2.197299
243.5585,-9.155413,-36.13337,-1.953155
243.55975,-9.765774,-33.44778,-2.441443
243.561,-9.643702,-33.3257,-2.929732
243.56225,-9.033341,-34.05814,-2.075227
243.5635,-10.25406,-35.15679,-1.70901
243.56475,-10.74235,-36.74372,-1.953155
243.566,-11.59686,-33.93607,-2.441443
243.567,-11.10857,-33.44778,-2.441443
243.56825,-10.74235,-36.37751,-2.80766
243.5695,-11.10857,-35.64508,-3.784237
243.57075,-11.10857,-36.13337,-3.784237
243.572,-11.47478,-37.7203,-3.662165
243.57325,-11.841,-34.30228,-2.685588
243.5745,-11.71893,-32.71534,-1.953155
243.57575,-10.49821,-35.27886,-1.70901
243.577,-11.35271,-36.62165,-2.80766
243.578,-11.23064,-36.37751,-2.441443
243.57925,-11.47478,-35.15679,-1.953155
243.5805,-12.45136,-34.18021,-1.953155
243.58175,-11.71893,-33.20363,-2.80766
243.583,-11.96307,-34.18021,-2.563516
243.584,-13.91623,-33.3257,-3.540093
243.58525,-12.69551,-34.42435,-2.563516
243.5865,-14.16037,-34.79057,-3.173877
243.58775,-14.28244,-32.83741,-2.80766
243.589,-13.30587,-33.08156,-2.685588
243.59025,-14.77073,-34.18021,-2.929732
243.5915,-14.52659,-32.71534,-2.80766
243.59275,-13.91623,-32.22705,-3.173877
243.594,-15.13695,-32.59327,-3.662165
243.595,-13.06172,-33.08156,-3.784237
243.59625,-14.28244,-34.18021,-3.295949
243.5975,-14.28244,-32.95949,-2.80766
243.59875,-15.13695,-32.22705,-1.831083
243.6,-15.38109,-32.83741,-3.295949
243.601,-14.64866,-32.95949,-2.441443
243.60225,-15.13695,-31.73877,-2.563516
243.6035,-13.79416,-33.08156,-2.685588
243.60475,-13.42794,-31.37255,-2.685588
243.606,-14.16037,-31.00633,-2.441443
243.60725,-14.89281,-33.08156,-2.80766
243.6085,-15.62524,-33.81399,-2.80766
243.60975,-16.84596,-31.61669,-3.051804
243.611,-15.01488,-31.1284,-3.051804
243.612,-14.28244,-34.42435,-2.929732
243.61325,-15.62524,-33.3257,-2.563516
243.6145,-14.52659,-33.3257,-3.051804
243.61575,-14.40452,-36.98787,-2.319371
243.617,-14.64866,-33.93607,-1.831083
243.61825,-13.55001,-32.83741,-1.831083
243.6195,-13.79416,-32.59327,-1.953155
243.62075,-14.28244,-33.56985,-2.075227
243.622,-13.30587,-35.15679,-1.953155
243.623,-13.42794,-33.20363,-2.80766
243.62425,-12.32929,-36.13337,-0.9765774
243.6255,-12.81758,-35.76715,-1.586938
243.62675,-12.08514,-35.523,-1.220722
243.628,-11.35271,-34.91264,-1.953155
243.629,-11.10857,-35.88922,-0.9765774
243.63025,-10.49821,-36.01129,-1.586938
243.6315,-10.86442,-35.64508,-1.342794
243.63275,-10.13199,-36.01129,-0.4882887
243.634,-8.545053,-37.47616,-0.8545052
243.63525,-9.155413,-34.91264,-1.220722
243.6365,-8.545053,-35.27886,-1.220722
243.63775,-8.545053,-36.74372,-0.4882887
243.639,-8.056764,-37.23201,0
243.64,-7.568475,-37.96445,-1.09865
243.64125,-6.958114,-36.49958,-0.6103609
243.6425,-5.249104,-37.47616,0.1220722
243.64375,-5.859465,-37.7203,-0.2441444
243.645,-6.347753,-36.37751,0.2441444
243.646,-5.249104,-37.96445,0.1220722
243.64725,-5.859465,-37.23201,-0.1220722
243.6485,-5.493248,-37.96445,-0.6103609
243.64975,-4.760815,-38.20859,-1.220722
243.651,-4.760815,-38.20859,0
243.65225,-3.90631,-37.96445,-0.3662165
243.6535,-3.051804,-39.55138,-0.1220722
243.65475,-2.685588,-40.16175,-0.4882887
243.656,-2.563516,-38.20859,-0.6103609
243.657,-1.464866,-40.03967,-0.3662165
243.65825,-1.464866,-42.48112,-0.6103609
243.6595,-2.197299,-41.74868,-0.8545052
243.66075,-1.953155,-42.84733,0
243.662,-1.220722,-43.57977,-0.2441444
243.66325,-1.70901,-43.21355,-1.09865
243.6645,-2.319371,-42.35904,0
243.66575,0.1220722,-44.80049,-0.2441444
243.667,-1.220722,-45.04463,-0.2441444
243.668,-0.3662165,-41.50454,0.9765774
243.66925,0,-41.62661,-0.3662165
243.6705,-0.2441444,-44.06805,-0.3662165
243.67175,-0.2441444,-44.19013,-0.2441444
243.673,0.4882887,-45.65499,0.6103609
243.674,0.2441444,-43.33562,0.2441444
243.67525,-0.9765774,-43.33562,0.4882887
243.6765,0.1220722,-45.16671,0.8545052
243.67775,0.3662165,-41.38247,0.2441444
243.679,1.464866,-42.96941,0.6103609
243.68025,1.464866,-45.41085,0.7324331
243.6815,0.8545052,-46.38743,0.1220722
243.68275,1.220722,-46.87572,1.220722
243.684,0.4882887,-45.65499,0.3662165
243.685,0.4882887,-44.43427,0.9765774
243.68625,1.70901,-46.75364,0.6103609
243.6875,0.8545052,-46.87572,0.8545052
243.68875,0.3662165,-45.41085,0.4882887
243.69,0.3662165,-42.84733,0.7324331
243.69125,0.8545052,-43.4577,1.09865
243.6925,0.4882887,-47.48608,0.7324331
243.69375,-0.8545052,-45.53292,0.9765774
243.695,0.8545052,-46.5095,0.2441444
243.696,0.3662165,-46.63157,0.1220722
243.69725,0,-45.77707,-0.1220722
243.6985,0.9765774,-44.43427,0.2441444
243.69975,0.1220722,-45.77707,0.4882887
243.701,-0.4882887,-44.80049,0.6103609
243.702,0.3662165,-46.26535,0.8545052
243.70325,0.3662165,-47.97437,1.09865
243.7045,-0.3662165,-46.38743,0.3662165
243.70575,0,-45.77707,0.4882887
243.707,0.7324331,-46.5095,0.9765774
243.70825,-1.342794,-45.53292,0.8545052
243.7095,0.1220722,-47.24193,0.4882887
243.71075,0.4882887,-49.5613,0.3662165
243.712,-2.319371,-44.67842,0.7324331
243.713,-0.4882887,-45.28878,0.9765774
243.71425,0.1220722,-45.28878,1.464866
243.7155,-0.2441444,-46.5095,0.6103609
243.71675,-1.464866,-46.26535,0
243.718,-1.831083,-43.21355,0.3662165
243.719,-0.4882887,-44.55634,1.09865
243.72025,-0.1220722,-47.24193,-0.1220722
243.7215,-1.220722,-46.75364,-0.7324331
243.72275,-0.9765774,-45.77707,-0.1220722
243.724,-0.9765774,-44.43427,0.9765774
243.72525,-0.6103609,-45.28878,0
243.7265,-1.342794,-46.5095,0.4882887
243.72775,-0.6103609,-44.3122,0.7324331
243.729,-1.220722,-43.21355,-0.1220722
243.73,-0.7324331,-44.06805,-0.8545052
243.73125,-2.441443,-42.1149,-0.1220722
243.7325,-1.70901,-41.62661,0.8545052
243.73375,-0.3662165,-42.23697,-0.2441444
243.735,-1.09865,-41.50454,0.7324331
243.73625,-2.685588,-42.96941,0
243.7375,-2.441443,-41.74868,-0.3662165
243.73875,-2.075227,-44.55634,0.4882887
243.74,-2.075227,-42.48112,0.4882887
243.741,-2.80766,-41.2604,0
243.74225,-3.173877,-42.48112,-0.6103609
243.7435,-3.784237,-41.13832,0
243.74475,-2.075227,-42.60319,0.1220722
243.746,-2.80766,-41.87075,-0.2441444
243.747,-3.662165,-40.52796,0.1220722
243.74825,-2.80766,-41.2604,-0.3662165
243.7495,-2.441443,-44.55634,-0.4882887
243.75075,-2.685588,-46.02121,-0.1220722
243.752,-3.540093,-43.21355,-0.8545052
243.75325,-3.051804,-41.62661,-1.464866
243.7545,-5.004959,-41.13832,-0.1220722
243.75575,-3.295949,-43.94598,-0.1220722
243.757,-2.685588,-45.65499,-0.3662165
243.758,-3.540093,-43.70184,-0.6103609
243.75925,-2.929732,-45.04463,-0.2441444
243.7605,-2.197299,-45.65499,-0.2441444
243.76175,-2.075227,-43.82391,-0.3662165
243.763,-1.953155,-44.19013,-0.3662165
243.764,-2.563516,-44.43427,-0.6103609
243.76525,-3.295949,-42.23697,0.1220722
243.7665,-1.953155,-43.09148,-0.1220722
243.76775,-2.441443,-43.94598,0
243.769,-1.831083,-45.89914,0
243.77025,-1.464866,-45.77707,0.1220722
243.7715,-1.464866,-45.28878,-1.220722
243.77275,-2.80766,-43.82391,-0.8545052
243.774,-2.197299,-42.96941,-0.4882887
243.775,-1.953155,-44.3122,-0.3662165
243.77625,-1.586938,-45.04463,-0.4882887
243.7775,-1.70901,-43.94598,-0.2441444
243.77875,-2.563516,-43.70184,0.7324331
243.78,-1.220722,-42.96941,0.1220722
243.78125,-2.685588,-43.70184,0
243.7825,-1.70901,-44.55634,-1.220722
243.78375,-1.831083,-42.48112,-1.09865
243.785,-1.220722,-41.62661,-0.4882887
243.786,-1.831083,-42.48112,0.2441444
243.78725,-1.220722,-43.82391,-0.3662165
243.7885,-2.197299,-43.82391,-0.3662165
243.78975,-2.197299,-41.13832,-0.3662165
243.791,-1.342794,-42.96941,-1.342794
243.792,-1.953155,-43.57977,-0.6103609
243.79325,-1.953155,-43.4577,0.7324331
