Time [s],X [°/s],Y [°/s],Z [°/s]
779.43575,4.638742,4.394598,-3.540093
779.437,3.90631,4.394598,-4.760815
779.43825,4.394598,3.173877,-4.516671
779.4395,3.784237,3.784237,-4.150454
779.44075,3.540093,4.638742,-4.638742
779.442,4.516671,3.295949,-3.784237
779.443,2.685588,3.784237,-3.051804
779.44425,1.953155,3.418021,-3.418021
779.4455,2.563516,3.662165,-5.004959
779.44675,2.685588,2.319371,-4.150454
779.448,2.197299,3.173877,-3.662165
779.449,1.342794,3.051804,-2.80766
779.45025,2.197299,3.540093,-2.319371
779.4515,2.80766,2.197299,-3.051804
779.45275,2.319371,2.197299,-3.784237
779.454,0.7324331,2.441443,-3.051804
779.45525,1.220722,2.319371,-2.441443
779.4565,1.342794,2.563516,-2.563516
779.45775,1.342794,5.127031,-3.173877
779.459,1.220722,5.737392,-3.295949
779.46,0.8545052,5.004959,-2.441443
779.46125,-0.2441444,5.004959,-2.197299
779.4625,0.6103609,4.760815,-2.685588
779.46375,-0.6103609,5.859465,-1.342794
779.465,0.2441444,5.493248,-1.464866
779.46625,0.4882887,5.371176,-1.953155
779.4675,-0.6103609,4.882887,-1.70901
779.46875,-0.1220722,5.371176,-1.831083
779.47,-0.4882887,5.859465,-2.197299
779.471,-1.09865,4.272526,-2.685588
779.47225,-0.3662165,4.516671,-2.929732
779.4735,-0.6103609,5.127031,-0.9765774
779.47475,-1.220722,4.882887,-1.09865
779.476,-1.586938,4.272526,-0.9765774
779.477,-0.8545052,4.272526,-1.09865
779.47825,-1.586938,4.516671,-1.831083
779.4795,-1.464866,3.051804,-0.6103609
779.48075,-1.464866,3.173877,-0.9765774
779.482,-2.197299,3.90631,-0.3662165
779.48325,-1.953155,3.418021,-0.7324331
779.4845,-2.80766,3.540093,-0.7324331
779.48575,-3.051804,3.295949,-0.7324331
779.487,-2.441443,1.831083,0.1220722
779.488,-4.028382,3.051804,-0.4882887
779.48925,-3.173877,3.173877,-0.4882887
779.4905,-2.563516,2.685588,-0.7324331
779.49175,-2.80766,3.90631,-0.7324331
779.493,-2.319371,2.319371,-0.1220722
779.494,-3.173877,2.80766,-0.8545052
779.49525,-5.859465,3.784237,0.3662165
779.4965,-4.516671,2.441443,0
779.49775,-3.90631,2.441443,-0.3662165
779.499,-3.784237,3.662165,0.2441444
779.50025,-3.295949,2.075227,0.9765774
779.5015,-4.516671,2.563516,0.6103609
779.50275,-4.638742,2.563516,0.3662165
779.504,-4.516671,2.685588,0.9765774
779.505,-4.882887,2.563516,1.220722
779.50625,-5.859465,2.929732,0.6103609
779.5075,-6.469825,2.075227,1.342794
779.50875,-5.737392,1.464866,1.220722
779.51,-5.737392,1.831083,1.342794
779.51125,-7.202258,2.319371,0.2441444
779.5125,-5.859465,1.09865,0.4882887
779.51375,-5.004959,1.220722,0.6103609
779.515,-5.004959,0.1220722,0.7324331
779.516,-6.591897,1.70901,1.70901
779.51725,-6.591897,1.586938,1.342794
779.5185,-6.71397,1.831083,0.9765774
779.51975,-5.737392,1.464866,1.342794
779.521,-6.836042,1.70901,1.09865
779.522,-7.568475,1.70901,1.70901
779.52325,-6.469825,1.70901,1.953155
779.5245,-5.981536,1.09865,3.051804
779.52575,-7.446403,1.586938,3.173877
779.527,-7.690547,1.831083,2.685588
779.52825,-6.958114,1.70901,3.540093
779.5295,-6.225681,1.220722,3.662165
779.53075,-6.225681,0,2.80766
779.532,-7.080186,0.8545052,2.80766
779.533,-7.690547,0.7324331,2.929732
779.53425,-7.446403,1.464866,2.80766
779.5355,-7.568475,0.7324331,2.80766
779.53675,-8.911269,0.9765774,3.540093
779.538,-8.056764,0.9765774,4.150454
779.53925,-7.446403,0.3662165,3.540093
779.5405,-7.568475,0.8545052,4.272526
779.54175,-8.178836,0.8545052,3.662165
779.543,-8.42298,1.464866,2.929732
779.544,-8.300908,1.09865,3.662165
779.54525,-8.42298,0.8545052,3.784237
779.5465,-7.32433,-0.6103609,3.90631
779.54775,-7.934691,0.8545052,3.662165
779.549,-8.300908,0.8545052,4.028382
779.55,-8.178836,1.342794,3.051804
779.55125,-8.545053,1.220722,3.662165
779.5525,-8.42298,0.9765774,4.028382
779.55375,-8.545053,-0.1220722,4.150454
779.555,-8.667125,0.8545052,4.150454
779.55625,-8.056764,0,4.638742
779.5575,-7.934691,1.09865,4.516671
779.55875,-7.568475,0.2441444,4.272526
779.56,-7.32433,-0.8545052,3.90631
779.561,-8.545053,-2.441443,4.028382
779.56225,-8.056764,-2.563516,4.150454
779.5635,-7.568475,-2.563516,3.90631
779.56475,-7.080186,-2.80766,4.882887
779.566,-7.934691,-2.319371,4.638742
779.56725,-6.958114,-4.150454,4.516671
779.5685,-8.667125,-2.441443,4.516671
779.56975,-7.446403,-2.929732,5.493248
779.571,-7.934691,-2.80766,5.859465
779.572,-7.812619,-1.953155,4.882887
779.57325,-7.812619,-2.685588,4.760815
779.5745,-8.42298,-2.929732,5.493248
779.57575,-7.202258,-3.295949,5.981536
779.577,-7.934691,-1.953155,4.882887
779.578,-7.812619,-2.197299,5.004959
779.57925,-6.71397,-1.586938,4.760815
779.5805,-6.591897,-2.075227,4.150454
779.58175,-6.71397,-1.953155,5.493248
779.583,-6.958114,-2.563516,5.249104
779.58425,-7.32433,-2.441443,5.859465
779.5855,-6.958114,-3.295949,5.859465
779.58675,-6.591897,-3.90631,6.958114
779.588,-6.836042,-2.197299,5.981536
779.589,-7.32433,-0.7324331,5.981536
779.59025,-6.103609,-1.70901,6.591897
779.5915,-6.591897,-2.319371,6.347753
779.59275,-7.812619,-1.342794,5.737392
779.594,-6.71397,-1.953155,6.71397
779.595,-6.836042,-1.831083,6.591897
779.59625,-6.103609,-0.6103609,6.71397
779.5975,-6.347753,-0.8545052,6.71397
779.59875,-6.103609,-1.586938,6.103609
779.6,-5.737392,-2.075227,6.958114
779.60125,-5.371176,-0.7324331,7.080186
779.6025,-5.737392,0.1220722,7.690547
779.60375,-6.103609,-0.3662165,7.202258
779.605,-5.737392,0,6.71397
779.606,-5.004959,-1.342794,7.202258
779.60725,-5.371176,0.7324331,7.446403
779.6085,-5.493248,-0.6103609,6.591897
779.60975,-5.249104,-1.342794,7.32433
779.611,-4.150454,-0.7324331,6.591897
779.61225,-4.394598,0.2441444,6.225681
779.6135,-5.859465,-0.1220722,6.225681
779.61475,-4.394598,1.09865,5.859465
779.616,-3.662165,2.197299,5.61532
779.617,-3.784237,4.516671,5.127031
779.61825,-3.540093,5.493248,5.493248
779.6195,-3.173877,5.127031,5.859465
779.62075,-2.563516,5.004959,5.127031
779.622,-1.09865,4.760815,5.371176
779.623,-0.6103609,4.882887,4.638742
779.62425,-1.464866,5.737392,4.150454
779.6255,-1.70901,6.103609,4.028382
779.62675,0.2441444,5.371176,4.150454
779.628,0,5.249104,3.418021
779.62925,0.1220722,5.859465,3.051804
779.6305,0.6103609,5.371176,2.685588
779.63175,1.09865,5.859465,3.051804
779.633,0.2441444,7.812619,2.929732
779.634,1.953155,7.080186,2.075227
779.63525,2.075227,6.469825,2.197299
779.6365,2.319371,6.71397,1.586938
779.63775,3.173877,7.812619,0.3662165
779.639,3.295949,8.789197,0.6103609
779.64025,4.028382,8.545053,0.9765774
779.6415,4.516671,7.934691,0.7324331
779.64275,4.882887,7.934691,0.2441444
779.644,5.981536,7.934691,0.2441444
779.645,5.127031,8.911269,-0.1220722
779.64625,6.103609,9.155413,-0.7324331
779.6475,6.225681,9.521629,-0.2441444
779.64875,5.981536,9.521629,-0.9765774
779.65,6.71397,10.25406,-1.831083
779.651,6.103609,11.10857,-1.09865
779.65225,8.178836,9.765774,-0.9765774
779.6535,8.42298,10.9865,-0.9765774
779.65475,7.568475,12.08514,-1.342794
