Time [s],X [°/s],Y [°/s],Z [°/s]
22.72825,64.45411,64.82033,53.58968
22.7295,63.84375,62.25681,55.29869
22.73075,63.47753,60.18158,56.27527
22.732,62.98924,57.12978,58.83879
22.733,62.01266,55.17662,61.40231
22.73425,61.76852,50.9041,62.62302
22.7355,60.5478,47.73022,65.30862
22.73675,58.71672,45.04463,67.62798
22.738,57.37392,42.60319,68.84871
22.73925,56.1532,40.28382,70.67979
22.7405,55.66491,37.7203,71.29015
22.74175,54.44419,36.74372,71.65636
22.743,53.10139,34.54642,69.94736
22.744,52.36896,34.91264,68.11627
22.74525,51.27031,33.81399,62.86717
22.7465,50.04959,32.95949,60.5478
22.74775,50.53788,32.71534,56.1532
22.749,48.34058,33.20363,50.04959
22.75025,47.11986,33.81399,44.3122
22.7515,46.38743,34.18021,39.42931
22.75275,44.67842,33.93607,32.95949
22.754,42.96941,33.08156,26.85588
22.755,40.65004,30.76219,20.50813
22.75625,38.57481,29.66354,15.13695
22.7575,36.74372,29.41939,10.37613
22.75875,35.523,27.2221,5.493248
22.76,34.30228,23.682,1.09865
22.761,31.1284,22.58335,-2.197299
22.76225,31.1284,18.31083,-5.371176
22.7635,29.78561,15.38109,-8.178836
22.76475,26.97795,12.81758,-12.08514
22.766,27.83246,9.399557,-14.89281
22.76725,25.75723,8.056764,-17.21218
22.7685,25.51308,4.150454,-18.67704
22.76975,24.29236,3.540093,-20.38605
22.771,23.07164,2.563516,-20.99641
22.772,20.38605,0.3662165,-22.21714
22.77325,18.67704,-0.1220722,-22.09506
22.7745,16.2356,0.3662165,-22.21714
22.77575,16.60182,1.220722,-21.72885
22.777,15.62524,2.075227,-22.09506
22.77825,14.89281,1.953155,-22.21714
22.7795,12.93965,3.540093,-21.85092
22.78075,13.18379,4.150454,-22.33921
22.782,12.32929,4.760815,-22.33921
22.783,13.91623,3.90631,-22.09506
22.78425,13.55001,5.127031,-23.07164
22.7855,13.91623,4.882887,-23.682
22.78675,15.38109,3.90631,-23.19371
22.788,16.11353,5.004959,-23.07164
22.789,17.33425,4.516671,-24.41443
22.79025,17.82254,4.028382,-25.39101
22.7915,17.57839,5.249104,-24.04822
22.79275,19.16533,3.540093,-23.31579
22.794,20.99641,2.319371,-23.682
22.79525,20.99641,2.80766,-23.80407
22.7965,20.75227,2.319371,-23.43786
22.79775,20.87434,0.7324331,-23.19371
22.799,21.60678,-0.7324331,-23.31579
22.8,21.4847,-0.2441444,-22.46128
22.80125,20.75227,-1.342794,-22.33921
22.8025,19.89776,-2.319371,-22.8275
22.80375,19.89776,-2.197299,-22.94957
22.805,20.01984,-3.295949,-21.85092
22.80625,19.53155,-3.90631,-21.4847
22.8075,18.55497,-5.493248,-21.97299
22.80875,16.11353,-6.103609,-21.24056
22.81,15.13695,-7.32433,-20.38605
22.811,15.13695,-8.178836,-19.89776
22.81225,14.28244,-9.155413,-19.53155
22.8135,12.93965,-9.155413,-18.67704
22.81475,11.96307,-9.399557,-18.92119
22.816,11.71893,-10.74235,-18.06668
22.817,12.69551,-12.45136,-17.70047
22.81825,11.10857,-12.45136,-16.96803
22.8195,10.25406,-12.32929,-16.47974
22.82075,10.49821,-13.30587,-15.50317
22.822,10.37613,-15.38109,-14.52659
22.82325,9.399557,-14.89281,-12.57343
22.8245,9.887846,-14.28244,-11.841
22.82575,10.62028,-16.47974,-10.74235
22.827,10.86442,-17.33425,-10.25406
22.828,10.25406,-16.96803,-9.155413
22.82925,12.08514,-18.92119,-8.42298
22.8305,13.06172,-19.65362,-7.080186
22.83175,12.45136,-20.01984,-6.71397
22.833,13.42794,-20.87434,-6.469825
22.83425,12.32929,-20.50813,-6.347753
22.8355,12.20722,-20.26398,-5.004959
