Time [s],X [°/s],Y [°/s],Z [°/s]
510.9185,-108.0339,-29.90768,-107.6677
510.91975,-109.4987,-28.80903,-108.5222
510.921,-112.5505,-28.44282,-110.7195
510.92225,-114.1375,-28.44282,-112.3064
510.9235,-115.8465,-29.05318,-112.6726
510.92475,-117.6776,-30.88426,-114.2596
510.926,-119.1424,-30.2739,-116.8231
510.927,-119.3866,-29.17525,-117.5555
510.92825,-120.3632,-29.29732,-118.41
510.9295,-120.9735,-29.17525,-118.6542
510.93075,-121.4618,-28.56489,-119.2645
510.932,-122.6825,-27.58831,-120.4852
510.933,-125.0019,-26.48966,-121.0956
510.93425,-126.1006,-25.63516,-121.9501
510.9355,-126.5888,-24.41443,-123.2929
510.93675,-128.0537,-24.17029,-123.537
510.938,-130.9834,-23.19371,-123.1708
510.93925,-133.3028,-21.60678,-125.7343
510.9405,-134.8898,-19.53155,-128.4199
510.94175,-136.5988,-18.31083,-130.251
510.943,-138.7961,-18.67704,-132.2042
510.944,-141.4816,-18.31083,-133.547
510.94525,-143.3127,-19.2874,-134.0352
510.9465,-146.1204,-17.94461,-136.2325
510.94775,-148.806,-17.82254,-137.5753
510.949,-151.0033,-18.31083,-138.7961
510.95025,-153.6889,-18.4329,-141.4816
510.9515,-155.8862,-19.53155,-144.2893
510.95275,-158.0835,-19.53155,-145.2659
510.954,-160.4028,-18.79911,-146.2425
510.955,-162.7222,-17.70047,-147.8294
510.95625,-164.7974,-17.45632,-150.515
510.9575,-167.1168,-17.09011,-151.0033
510.95875,-170.2907,-17.70047,-152.1019
510.96,-173.7087,-15.74731,-154.1772
510.961,-176.2722,-15.86938,-156.8627
510.96225,-178.7137,-15.38109,-158.2055
510.9635,-180.3006,-13.79416,-159.5483
510.96475,-184.0848,-13.30587,-159.6704
510.966,-184.8173,-13.79416,-160.7691
510.96725,-189.0898,-11.23064,-162.8443
510.9685,-191.7754,-10.9865,-165.1637
510.96975,-194.5831,-10.13199,-167.6051
510.971,-197.2686,-9.277485,-168.9479
510.972,-199.9542,-7.812619,-170.0465
510.97325,-202.5177,-5.859465,-171.5114
510.9745,-204.593,-5.737392,-173.3425
510.97575,-206.0578,-3.90631,-174.4411
510.977,-207.2785,-3.784237,-175.4177
510.978,-211.6732,-1.831083,-178.7137
510.97925,-215.2132,-1.342794,-180.1785
510.9805,-218.6313,0.6103609,-181.8875
510.98175,-219.2416,2.075227,-183.9628
510.983,-220.0961,2.80766,-185.9159
510.98425,-221.8051,4.150454,-187.8691
510.9855,-224.1245,5.371176,-188.6015
510.98675,-226.1997,6.71397,-190.7988
510.988,-228.1529,7.568475,-192.6299
510.989,-229.8619,7.812619,-193.7285
510.99025,-232.6696,10.13199,-194.9493
510.9915,-234.3786,12.93965,-196.0479
510.99275,-236.82,13.79416,-198.6114
510.994,-239.2615,15.86938,-200.1984
510.99525,-241.4588,18.18876,-201.4191
510.9965,-244.6326,20.99641,-202.884
510.99775,-246.8299,24.29236,-205.0813
510.999,-245.8534,25.8793,-206.7903
511,-250.37,29.17525,-207.8889
511.00125,-254.2763,32.34912,-208.6214
511.0025,-255.6191,34.18021,-210.3304
511.00375,-258.0606,37.47616,-212.2835
511.005,-259.8917,39.67346,-213.6263
511.00625,-262.089,42.35904,-213.8705
511.0075,-264.6525,42.60319,-214.3587
511.00875,-266.9718,44.3122,-213.6263
511.01,-269.4133,45.89914,-214.1146
511.011,-270.8781,47.364,-214.1146
511.01225,-270.8781,47.48608,-214.725
511.0135,-271.7327,47.11986,-215.4574
511.01475,-272.9534,48.09644,-216.434
511.016,-275.639,50.41581,-218.0209
511.017,-276.7376,50.41581,-220.5844
511.01825,-278.5687,53.34554,-222.6597
511.0195,-279.1791,53.46761,-225.4673
511.02075,-282.9633,56.1532,-228.6412
511.022,-286.5034,59.57122,-229.8619
511.02325,-288.8228,61.89059,-232.4254
511.0245,-291.1422,64.20996,-234.5006
